physician-fee-freeze_y,aid-to-nicaraguan-contras_n,religious-groups-in-schools_y,water-project-cost-sharing_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,education-spending_y,immigration_y,duty-free-exports_n,anti-satellite-test-ban_n,adoption-of-the-budget-resolution_n,export-administration-act-south-africa_y,superfund-right-to-sue_y,crime_y,synfuels-corporation-cutback_?,Class-Name_republican
physician-fee-freeze_y,immigration_n,aid-to-nicaraguan-contras_n,religious-groups-in-schools_y,water-project-cost-sharing_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,synfuels-corporation-cutback_n,export-administration-act-south-africa_?,duty-free-exports_n,anti-satellite-test-ban_n,adoption-of-the-budget-resolution_n,education-spending_y,crime_y,superfund-right-to-sue_y,Class-Name_republican
adoption-of-the-budget-resolution_y,anti-satellite-test-ban_n,immigration_n,physician-fee-freeze_?,religious-groups-in-schools_y,export-administration-act-south-africa_n,mx-missile_n,education-spending_n,el-salvador-aid_y,synfuels-corporation-cutback_y,duty-free-exports_n,water-project-cost-sharing_y,handicapped-infants_?,Class-Name_democrat,superfund-right-to-sue_y,crime_y,aid-to-nicaraguan-contras_n
adoption-of-the-budget-resolution_y,anti-satellite-test-ban_n,immigration_n,aid-to-nicaraguan-contras_n,religious-groups-in-schools_y,el-salvador-aid_?,handicapped-infants_n,crime_n,mx-missile_n,water-project-cost-sharing_y,education-spending_n,duty-free-exports_n,physician-fee-freeze_n,synfuels-corporation-cutback_y,Class-Name_democrat,export-administration-act-south-africa_y,superfund-right-to-sue_y
adoption-of-the-budget-resolution_y,anti-satellite-test-ban_n,immigration_n,aid-to-nicaraguan-contras_n,duty-free-exports_y,religious-groups-in-schools_y,education-spending_?,mx-missile_n,el-salvador-aid_y,export-administration-act-south-africa_y,physician-fee-freeze_n,water-project-cost-sharing_y,synfuels-corporation-cutback_y,Class-Name_democrat,crime_y,handicapped-infants_y,superfund-right-to-sue_y
adoption-of-the-budget-resolution_y,anti-satellite-test-ban_n,immigration_n,aid-to-nicaraguan-contras_n,duty-free-exports_y,religious-groups-in-schools_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,synfuels-corporation-cutback_n,physician-fee-freeze_n,water-project-cost-sharing_y,education-spending_n,Class-Name_democrat,crime_y,export-administration-act-south-africa_y,superfund-right-to-sue_y
physician-fee-freeze_y,immigration_n,aid-to-nicaraguan-contras_n,duty-free-exports_y,religious-groups-in-schools_y,water-project-cost-sharing_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,synfuels-corporation-cutback_n,anti-satellite-test-ban_n,adoption-of-the-budget-resolution_n,superfund-right-to-sue_?,education-spending_n,Class-Name_democrat,crime_y,export-administration-act-south-africa_y
duty-free-exports_?,physician-fee-freeze_y,immigration_n,aid-to-nicaraguan-contras_n,religious-groups-in-schools_y,water-project-cost-sharing_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,synfuels-corporation-cutback_n,anti-satellite-test-ban_n,adoption-of-the-budget-resolution_n,education-spending_n,superfund-right-to-sue_y,crime_y,export-administration-act-south-africa_y,Class-Name_republican
physician-fee-freeze_y,immigration_n,aid-to-nicaraguan-contras_n,religious-groups-in-schools_y,water-project-cost-sharing_y,handicapped-infants_n,mx-missile_n,el-salvador-aid_y,synfuels-corporation-cutback_n,duty-free-exports_n,anti-satellite-test-ban_n,adoption-of-the-budget-resolution_n,export-administration-act-south-africa_y,education-spending_y,crime_y,superfund-right-to-sue_y,Class-Name_republican
duty-free-exports_?,mx-missile_y,adoption-of-the-budget-resolution_y,export-administration-act-south-africa_?,immigration_n,superfund-right-to-sue_n,crime_n,water-project-cost-sharing_y,anti-satellite-test-ban_y,religious-groups-in-schools_n,aid-to-nicaraguan-contras_y,physician-fee-freeze_n,el-salvador-aid_n,education-spending_n,Class-Name_democrat,synfuels-corporation-cutback_n,handicapped-infants_y
